Total Experience,Team Lead Experience,Project Manager Experience,Certifications,Salary
12,9,1,4,108066.46853686469
12,2,2,2,93006.02737681112
13,8,0,1,101414.55684465905
9,1,5,1,87796.22834216202
13,3,7,0,106687.85068813279
13,5,3,1,94462.20067815513
1,0,0,2,50186.37610716893
9,1,4,1,79654.28825106351
7,6,0,4,80300.48449445568
9,7,0,0,95147.37420965874
8,7,0,2,88030.86930613598
1,0,0,0,51677.42579344695
12,0,4,2,80980.68817796624
8,3,2,4,87177.09015104613
8,2,3,0,74803.70802573263
11,9,1,3,103799.66315133164
3,0,2,2,63386.88468979096
1,0,0,3,61303.292979193255
8,4,0,0,75455.89800440444
3,1,0,3,47402.439220895874
3,1,0,3,63419.24772376847
1,0,0,0,62002.55590755427
11,1,0,4,93194.7317646972
5,2,1,3,72548.29707637313
10,7,1,3,94041.81907183977
7,2,1,4,82035.61298318655
10,5,4,3,90632.26900147766
9,4,2,3,90881.7888467811
12,8,3,3,109027.35079583313
7,0,0,1,76801.0495374944
9,4,0,4,100798.30019455538
8,5,1,3,88462.07983589383
12,4,6,4,99455.18187146251
2,1,0,2,58872.128439040025
1,0,0,2,45154.62047555441
7,5,1,3,80026.43434455471
7,6,0,4,82953.58780943448
14,3,10,4,107379.55801032703
8,5,1,4,87761.77436016861
5,2,0,1,65387.900338089
3,1,0,2,67605.15333662236
12,7,4,4,106001.03532459098
8,6,0,4,87953.49839430692
6,0,2,1,68860.52641743541
11,6,1,1,97275.95341929489
3,2,0,4,69125.49132333817
1,0,0,0,48664.3489214455
3,2,0,4,61709.41755462372
5,4,0,4,73481.36985611668
14,3,3,1,94770.64538263393
3,2,0,1,59403.71070139251
1,0,0,4,52618.895632276704
5,1,2,4,75371.94590356364
10,3,2,4,91312.80664500962
7,3,0,1,78467.94955683772
14,10,3,4,121254.48981083986
7,3,3,4,81313.14105800302
11,5,4,3,100452.32424964444
9,5,3,0,89483.89123533752
10,0,9,2,91326.81174699814
10,7,2,0,93086.20671194208
12,5,3,3,88305.91420861785
13,2,8,2,101328.60418906849
3,1,1,4,71113.7406804997
7,0,5,3,82131.07701120796
1,0,0,4,59826.987422955855
4,1,2,1,72680.65360903108
13,10,0,3,110943.2879548072
4,3,0,1,69486.57853702798
14,9,3,3,111411.74052282824
5,2,0,3,68919.63571986475
7,4,1,1,83578.85574885571
7,3,3,2,87019.42218584409
13,4,8,0,104302.76862159501
11,5,3,4,95749.05367574294
13,9,2,3,110502.639794283
4,1,1,4,70006.03374464557
13,3,5,1,93280.7259193323
7,2,4,4,69519.0952343138
11,3,4,1,90747.31575254208
3,0,1,4,55896.4378704292
6,3,2,0,73459.29901176345
12,0,0,0,85261.09840591265
2,1,0,0,55733.75795488493
10,0,7,0,94262.33767235372
13,9,0,0,108633.7238230116
14,13,0,0,119502.37179805414
9,5,1,1,91611.03572021701
5,4,0,3,68805.83441109615
6,5,0,4,85195.55893710135
12,10,1,0,106621.1785673227
12,3,1,1,96852.40308620606
12,10,1,1,102140.71383479923
12,2,5,1,87731.20616991968
4,0,3,3,70589.44829012515
14,5,8,4,113882.04763048758
14,1,0,3,90989.74222821245
11,7,3,2,96651.68459362653
10,9,0,1,104127.17392207385
7,4,1,2,75052.94053566337
12,6,0,0,106213.36476627982
9,1,7,0,81496.89632676066
7,4,2,3,85691.95962804192
14,7,5,4,111356.90762125507
1,0,0,2,57015.93715541172
1,0,0,4,52279.42998942904
9,1,2,3,81686.03546963853
11,3,7,0,96204.59587697861
14,0,8,4,96989.06272109263
9,4,0,4,90704.12172710063
4,0,3,0,62433.93216764207
13,0,8,2,96857.0004232999
9,8,0,0,88028.25312695744
3,2,0,4,52188.33170602345
7,6,0,2,83044.86118699916
6,5,0,2,91063.07710806458
8,6,1,0,90923.02143949011
11,2,5,4,93903.69810132803
9,0,5,3,82185.54585395867
14,4,3,4,105112.32946406023
5,3,0,1,74235.59557587605
1,0,0,3,48595.93592345578
3,1,1,2,68571.60847334436
10,4,1,3,94076.90657720622
12,7,3,2,107590.92862853967
8,2,0,2,81192.37869404863
11,8,1,3,101598.08328846995
6,1,0,2,74364.3061798341
8,3,0,2,83959.07066870689
9,2,0,1,79729.79644529488
4,2,0,4,65131.9911355155
1,0,0,4,55509.28147630993
14,0,13,1,113245.10075747594
1,0,0,3,48304.4646217305
10,7,0,0,86662.3736712378
4,3,0,0,68823.80420618258
12,5,4,0,100254.4385092801
14,11,1,1,116366.70832185204
7,4,1,1,81719.7659895425
2,1,0,2,57883.98872682598
3,2,0,0,70449.31719301041
1,0,0,3,46495.48010761742
5,0,1,3,63357.51487609877
1,0,0,0,52483.726199254765
8,4,1,0,74784.05594422916
1,0,0,0,52120.72797783965
11,2,6,1,101807.35082864009
1,0,0,1,53604.43244147981
2,0,1,1,58653.50452859342
2,0,1,4,52699.1761741371
12,4,1,3,93418.19295980262
6,2,1,3,72624.01809838031
7,2,1,2,75411.42451621883
5,1,1,1,74908.21897501884
1,0,0,4,57788.455303625626
1,0,0,4,49442.71021531484
3,1,0,3,63732.523892160025
14,3,0,1,100991.10874248392
2,0,1,2,63700.74519260633
5,4,0,1,81402.70343284187
12,9,2,0,100924.52904086065
10,8,0,1,92445.71244394832
6,1,2,0,65712.11070542692
7,6,0,0,81829.9007044651
4,3,0,2,71331.79187223167
7,5,0,3,87436.67258294551
11,2,5,1,92120.24488178738
8,4,0,0,80400.76238372579
11,5,5,1,99258.7899612437
1,0,0,3,50324.285491849885
6,0,0,3,79947.69360847387
8,6,0,4,79961.69486440971
5,0,0,3,67423.70289447863
4,0,1,2,74118.0310961482
2,0,1,0,57033.99922279999
6,0,1,4,70049.80482499253
6,1,3,2,72212.77288594787
11,4,5,1,95598.04159118797
1,0,0,0,59864.24237338265
9,7,1,3,82440.69044335246
12,7,2,0,109667.16850648163
11,2,6,1,86380.21423774927
6,2,2,4,74666.73835382792
13,5,3,4,101853.7778985067
3,1,1,4,66942.7663488536
4,2,1,3,60509.37824058126
12,6,5,2,106310.86333040972
11,2,5,2,103121.54811643426
4,3,0,0,61184.12997703595
3,1,1,3,64448.53083805198
10,3,6,4,90690.08911101696
3,2,0,4,67129.43603096518
3,2,0,1,63595.73888707876
4,0,2,1,61292.56545477845
7,0,6,4,81439.36142435537
4,3,0,4,79021.74054893371
9,6,0,3,89545.48104136351
1,0,0,2,57598.78971074091
8,2,3,1,75033.63521064418
7,3,1,2,74217.81811590996
2,0,1,3,60862.031389401884
8,5,2,4,95420.58014267983
1,0,0,2,55778.0667439283
11,8,1,4,100434.70984738423
12,0,5,4,92996.45702711678
9,4,3,0,81747.96133015142
9,6,2,2,95022.57663177683
2,0,1,2,62411.66531161705
7,5,0,4,80739.5483358346
14,3,8,3,105149.78926120249
10,5,4,0,95329.39114826024
3,1,0,4,60816.40131979702
7,1,1,1,74169.33692687089
12,4,2,1,106998.60894583257
10,9,0,0,96764.87149627002
9,0,6,3,82708.2992398939
4,1,1,4,63762.2909718242
12,5,3,2,103720.95985749968
1,0,0,0,52093.87913390948
2,0,0,3,54253.13480839287
1,0,0,2,60606.52016136506
14,3,7,1,112598.01502256819
12,7,4,1,101497.88217130647
5,3,0,2,62667.30024319692
5,4,0,0,78037.5684491846
11,7,0,1,94076.85087119997
7,4,2,4,86953.12799581385
9,3,2,2,76149.48091144083
9,1,3,2,87462.98669149654
3,2,0,1,57444.14035359609
3,2,0,0,66653.82059533263
3,2,0,4,65071.36533918217
4,2,1,0,62230.302903016775
8,3,1,3,80464.81843536609
6,3,2,3,80931.5922847835
8,1,5,1,82029.47226557617
1,0,0,1,56422.06490236242
8,2,4,1,92382.20292257743
4,2,1,3,60678.791941444746
11,4,0,0,99086.06287484312
1,0,0,0,53521.779687616065
8,3,2,1,78006.07975838435
4,2,0,4,61348.43187130505
6,5,0,0,77054.39804611483
8,1,3,3,85108.25055962229
4,3,0,2,68362.25439811233
14,5,2,2,112555.77465123674
3,1,0,2,54744.12154974221
14,7,4,4,111939.55526076973
9,6,0,1,83238.03277793441
3,2,0,3,66318.15941312484
9,7,1,4,98434.4369504865
13,1,0,3,90396.19103159473
2,0,0,3,44478.93071686433
14,0,11,1,104494.74073398247
2,0,0,2,59183.692758667545
2,1,0,1,60521.47377480849
6,3,1,4,83178.91095911077
3,2,0,4,59644.73160175476
13,11,0,4,116401.08052725224
9,3,1,1,90462.53756238987
4,3,0,3,60607.062079967414
1,0,0,3,56098.25912959489
4,3,0,0,65479.10084496164
1,0,0,4,54592.38663449177
14,4,7,3,110238.38241769168
5,4,0,0,70563.85717943223
4,3,0,3,66121.45960419194
8,6,1,4,89170.76208744012
8,1,4,2,75563.77030568599
7,0,3,4,70570.87435557408
3,2,0,1,66896.86641478252
1,0,0,3,48756.02982420672
1,0,0,3,57831.56250454606
12,9,1,1,107812.95646426975
11,8,1,1,91870.96635604702
3,1,0,2,58612.17673832172
6,2,2,3,81470.54701523687
7,4,0,3,75594.1723443016
6,5,0,2,76677.97868845306
14,7,3,0,111310.30446625948
14,8,1,2,113916.95254641298
6,5,0,4,78742.30556977753
6,2,0,3,70512.4490265418
13,6,1,1,109611.84930849254
3,0,1,4,70694.4983189879
6,5,0,3,84394.29025390898
8,4,2,2,85426.59071282513
11,4,1,4,89958.67139179537
11,9,1,3,99347.77796721717
2,1,0,0,60612.57052632879
5,3,1,0,74091.99110444341
14,5,6,1,115507.99296473214
1,0,0,3,57752.2504626807
12,6,1,0,91484.59849120092
1,0,0,2,59259.73808861459
5,0,2,3,63509.69686342793
12,0,2,2,87080.14364023824
13,5,1,2,102251.00103125848
3,2,0,0,72978.33744891982
4,2,1,3,84049.59278002681
3,2,0,4,68033.61529568091
1,0,0,0,52084.01690639806
1,0,0,0,55672.528242402754
12,4,4,3,103938.27712936918
12,8,3,3,104896.66187221404
14,4,2,2,111976.05677956161
13,8,4,3,111650.35379595701
14,9,1,2,114488.71544545697
5,3,1,0,75329.62126027231
6,0,4,1,74607.93305307228
3,0,2,4,67194.70250234807
12,9,0,0,100913.73406726538
9,8,0,3,91708.49123026985
5,2,2,4,67499.22883514152
8,6,1,1,89697.50615310113
13,3,7,1,106394.68251756058
1,0,0,2,56288.86433075943
14,8,3,4,121372.46216673769
5,1,3,2,70972.01990585477
3,2,0,0,66343.70827796256
12,5,5,4,97541.49561930343
1,0,0,0,51064.501487628
4,1,2,2,70477.68878782888
13,6,1,4,108245.51055371572
5,1,3,2,69530.1652616791
7,2,1,4,77642.00374070967
1,0,0,2,46410.631266595956
3,1,0,1,59714.85399596695
2,0,0,2,61451.91581759893
9,0,4,1,84376.02508053283
10,2,5,2,92503.32860690604
6,5,0,4,80248.8684359048
10,7,0,4,96035.31579314088
3,0,0,4,57698.39430263276
8,6,1,3,91994.14210101268
14,3,5,0,105104.86472194694
8,5,0,4,88460.09423996399
2,0,0,1,53869.8257866621
6,0,5,4,64233.28540064378
7,0,6,3,83985.76355876848
2,0,0,1,54105.812719957976
11,10,0,3,100186.1211797844
10,5,3,1,96967.39455956996
2,1,0,2,57039.93680040435
10,1,1,0,88299.68192023311
1,0,0,0,56085.02974788349
8,4,2,3,88917.84661600238
1,0,0,0,46170.22144399733
9,0,5,3,89559.719926932
11,6,0,3,97806.25265616928
6,0,2,3,69653.61430376899
7,3,0,0,77716.94233671126
13,8,0,3,97618.8238355084
10,0,1,0,83043.26405740336
7,3,2,3,75353.14245908963
10,5,4,4,89236.64857078233
3,1,0,3,54888.20406891054
2,1,0,1,64063.441874949625
9,7,0,3,89353.68303153606
8,0,0,2,82668.6385495825
13,6,3,3,102820.9926847385
12,0,7,1,84963.21021203526
10,6,3,1,89917.3778002567
7,2,4,0,85179.05810003469
9,7,0,4,92220.50911031666
4,2,0,3,64758.563517546994
13,12,0,0,113800.09112926394
4,0,2,4,68508.91368083772
1,0,0,3,60086.994079512304
8,4,2,2,92242.49614946463
14,12,1,3,116701.15677105456
14,13,0,1,111869.76156958981
12,7,2,1,100432.67419438362
3,2,0,2,65301.40253291443
7,1,5,0,73181.20536894695
12,0,9,4,92214.24542552479
2,1,0,3,61218.93940774943
2,0,0,1,56256.738242147745
7,6,0,0,83163.98497705793
6,1,1,2,68207.52332649965
3,1,1,1,61347.996428971164
9,5,1,2,84378.83427865848
10,0,8,3,93950.99205562394
14,1,0,4,101176.24667361876
13,5,4,1,94269.06068880954
6,2,3,1,70852.44569903795
10,3,2,3,82017.35372454961
10,0,0,0,76749.88032796551
6,4,0,4,77582.8101510482
1,0,0,1,46251.773901507346
4,2,1,4,64390.70093437343
10,6,1,1,88480.21313959251
6,2,3,4,78036.33664699472
6,1,3,2,74346.72168518126
11,9,0,1,97891.31223331373
12,2,4,4,96884.10436069699
5,1,2,0,66266.59957706368
1,0,0,2,52641.724448369736
8,3,4,2,93367.26045149268
5,0,3,0,74702.30525895173
12,6,4,4,97502.09381536201
12,6,0,3,103648.66208939588
12,11,0,0,112056.98277245797
5,1,0,4,63258.68355623691
7,6,0,0,87093.8882187743
4,0,3,0,72689.65959206276
6,0,3,1,65887.27596877793
13,8,3,4,105412.48589492869
4,2,0,3,72588.3073342175
14,2,5,1,102857.47655412824
3,2,0,0,65757.38137619762
7,2,3,0,79702.94608200248
8,6,0,0,87953.47960464071
4,0,0,4,57367.63935844458
13,7,3,4,113236.58853310723
2,1,0,1,64347.94996213887
12,8,1,3,103353.04627965986
10,4,5,1,93282.61525093068
14,2,1,2,90344.46248722139
3,2,0,0,65571.27378008918
1,0,0,0,55860.28720857072
8,0,0,0,73689.04491500344
3,2,0,1,69121.76679935251
12,7,4,1,102829.61384510029
10,1,3,0,87823.029629468
7,2,1,1,71401.67830653943
10,7,0,4,95882.2392456288
5,2,0,4,70128.22871048583
10,3,6,1,93626.53961020471
5,3,0,0,69152.3653558332
14,4,5,1,104842.63702164165
7,5,0,1,85630.23585720753
9,4,4,1,87316.17881380892
12,6,2,2,92967.1144963066
5,1,0,4,77747.9195210271
1,0,0,3,61407.27039345243
10,6,0,3,87038.68652447191
10,9,0,2,102448.53902622598
1,0,0,1,50985.12614724328
2,0,0,2,58317.4360766553
14,0,2,2,96471.12064506747
6,4,1,0,75827.96099841839
9,2,3,4,82081.17167206801
8,7,0,3,86047.2947384187
13,12,0,1,108919.04042259378
5,2,1,3,67340.88895884778
1,0,0,3,54164.108549753226
13,3,3,4,96421.20005444624
7,4,0,3,83910.2603285631
5,3,1,3,80936.23077667964
6,1,2,2,70099.73379314979
13,1,10,4,104197.02250267689
7,0,5,0,78498.42555151467
3,2,0,1,65860.01135459637
12,4,1,3,96879.77633958044
10,3,0,1,90213.41209179861
3,2,0,0,65411.24476340329
5,1,1,1,62311.68788836351
6,1,4,0,78345.78032194637
9,2,0,2,86436.4541863337
13,6,6,3,104683.56947910709
14,6,6,0,110189.689177238
12,11,0,1,111916.64496405535
5,3,1,3,72453.4309021032
1,0,0,2,59364.89023883006
14,4,1,3,114319.3624730968
14,4,6,0,102070.06983682509
14,5,5,2,101094.77698423112
4,3,0,1,70019.09297802438
5,0,3,2,72607.81252563072
12,1,6,2,93845.66813077616
10,4,5,4,102266.30331660518
10,2,4,2,82306.97100138376
5,3,1,2,76464.59311515806
7,1,1,3,72470.69589620554
4,1,1,1,74096.88953103649
1,0,0,3,64462.57676584059
14,11,2,3,113666.71706108325
14,7,1,0,104252.2143204571
5,0,4,3,74797.93943489902
7,1,0,4,73064.34675105242
10,7,2,4,97772.94391033881
10,6,3,0,95126.94210271206
6,0,4,1,62901.634219011714
5,1,3,1,70430.81126952881
4,2,1,3,65051.36112967913
2,0,0,3,55034.38588800114
4,1,2,3,74718.16001734407
10,8,1,1,91217.46552860372
10,7,2,2,101066.02593373989
3,1,1,4,62605.18534834096
10,8,0,2,95601.19915752082
1,0,0,2,57951.85948025856
8,6,0,1,88200.25647284446
5,0,1,2,69853.06498609766
13,5,2,0,105840.9233026643
4,1,1,3,64843.45808408339
8,2,5,0,79938.81632746125
7,5,1,4,78574.247367211
2,1,0,3,55372.94735010523
1,0,0,2,68745.47212654362
12,9,1,4,113223.39790368393
11,9,0,3,95744.6281689599
4,0,1,2,57387.71021628215
8,4,3,0,87409.33030859246
12,1,7,3,99236.32398688984
2,0,0,2,59744.41917658682
3,0,2,0,59725.22103223151
12,10,1,4,108372.7286999855
1,0,0,4,56639.397620796786
1,0,0,4,55429.46503146665
13,5,0,4,89903.49813626232
3,1,1,1,61351.00184712403
11,4,3,3,91242.96782869843
5,1,0,3,69376.05709454256
12,3,0,1,107426.29501301705
3,0,2,2,63837.40832737152
1,0,0,2,52432.35156913801
1,0,0,4,59609.00750988626
8,5,2,0,88413.43943604606
10,1,4,2,89100.4724522592
11,0,4,0,90034.25296607836
12,4,0,3,105782.71782414771
13,8,1,0,100345.55782337041
13,5,5,3,107868.16038405728
12,9,1,1,100868.0943500923
14,11,1,1,118277.56323171125
2,0,1,4,54406.567442569525
13,4,5,2,100913.16593197458
3,1,0,4,61524.55042881047
2,1,0,3,64379.08359672355
3,0,0,4,65592.27221971207
7,2,0,0,68771.41311776808
1,0,0,3,54774.67055499924
10,8,0,1,92952.10072625414
8,6,0,2,80707.47544662333
13,5,7,3,106414.91474787815
10,7,0,3,93957.5860577209
10,1,8,0,102133.58243172761
10,8,0,2,99164.79912680348
14,4,8,1,101611.91249622882
2,0,0,3,54676.12997914529
3,1,1,3,68606.916477147
9,0,1,0,88442.21386434963
7,1,4,4,71070.08343881021
4,0,1,1,54100.378074304776
10,9,0,2,108354.82587685891
5,1,1,3,71448.07088685452
2,1,0,3,55158.53634061817
13,5,3,1,105173.14543061217
11,10,0,4,91821.2613049156
13,0,5,3,95516.8775329858
8,2,2,1,82139.10586421542
4,0,1,0,67621.35069768915
9,3,1,4,80930.52023853731
5,2,1,2,71428.4358070168
13,9,0,3,103872.87686970206
9,4,0,1,86776.91877837159
4,2,0,0,61523.26838818488
10,7,2,2,94959.4958041989
5,2,0,1,64520.923026048855
9,3,2,1,88755.68120911828
8,0,0,2,79292.25558328333
3,2,0,0,61826.89715021293
1,0,0,0,53191.189974800145
3,2,0,4,57757.04292683228
4,3,0,3,68001.61675996607
2,0,1,2,57748.976914791274
1,0,0,2,67103.96545514988
7,5,1,2,77440.16487112918
8,1,5,0,88320.88619376218
7,6,0,3,89484.29386732903
14,7,6,4,115403.18202245068
5,4,0,1,82293.10242097567
12,7,0,1,102360.52736303431
1,0,0,2,55945.79597833964
7,0,4,3,76234.39673491227
13,9,2,0,115117.84441209314
7,3,0,3,83982.34616905442
9,3,3,3,84371.61356251893
3,2,0,0,56403.76402700616
9,2,1,2,81985.09681302171
14,3,6,3,101499.80717801178
1,0,0,1,53182.377126923224
1,0,0,0,59187.19067342069
14,10,2,4,113713.49172456605
4,0,0,2,62785.88309344213
9,1,2,0,81290.11367404198
6,0,3,4,77242.15441102642
13,9,0,4,97765.55333007697
11,1,8,3,91466.49852617351
3,0,0,3,61556.41846139736
1,0,0,3,60500.3947821343
4,0,0,0,59540.487762468976
12,8,3,0,95617.23646979063
13,7,0,2,107098.55722983068
9,0,2,3,77323.18805587185
3,0,1,4,56051.666704548195
12,8,1,1,100378.27305143388
9,7,0,2,91077.37321172075
7,1,2,0,71976.27667730894
12,8,3,2,94972.16971450465
14,6,5,2,114485.33098443566
4,2,1,2,74374.37520639361
3,2,0,2,67257.60995669753
10,1,1,1,77811.57164787591
5,4,0,3,73492.54233026241
5,3,1,4,73967.39342385271
3,2,0,2,66993.97194780955
12,5,0,2,100341.7024435904
9,1,2,2,78329.13100610752
4,3,0,3,69909.9777820678
11,2,4,0,93286.40202307621
5,4,0,0,80279.11161073383
4,3,0,1,72022.53269912362
5,2,1,0,73945.2834368776
7,2,1,2,77419.1331396468
9,0,5,2,90052.29572601752
7,4,0,2,82048.81397979749
13,0,12,1,97194.56044913214
5,1,1,2,76016.84985062595
10,8,0,0,99489.51636269514
10,6,3,3,94284.77989435759
7,0,4,3,74102.53516300378
14,11,1,4,118482.8777257038
10,7,0,0,96315.92397633793
5,2,2,2,72986.46132815603
3,2,0,3,66056.54336721443
7,4,2,0,89499.7868728819
13,0,10,3,105857.71576117443
11,6,1,2,97953.17795632512
11,4,3,3,100206.55290383742
2,1,0,4,54837.3804823623
12,5,2,4,101989.63524973404
9,7,0,3,101546.53174866555
10,8,0,0,94909.77052303813
10,1,4,0,81761.83035690458
12,8,2,0,100739.55555703469
1,0,0,3,49051.83481328806
13,11,0,0,107076.19045936149
6,2,2,2,73147.45950704986
7,1,4,4,71972.16490410679
14,8,3,2,112078.09166974801
13,12,0,0,117511.38586893324
8,1,6,2,78461.21909926539
10,9,0,0,105596.41961820885
9,6,0,3,93053.96044263797
2,0,1,2,63152.90292812029
11,6,2,3,95210.82723073932
10,9,0,3,103772.62613533308
2,0,0,1,51040.33049802344
5,1,2,0,73451.23750418254
13,6,3,4,106859.19669896766
5,4,0,0,75766.25609992392
6,0,4,4,68122.02697187575
3,2,0,0,58524.65078861698
8,7,0,3,92486.14109126692
13,7,4,2,103258.259978879
1,0,0,2,56316.031460495615
6,1,2,1,65664.31096769877
4,2,1,4,73240.87106333334
1,0,0,4,48837.38342615745
7,6,0,4,87761.49968839761
9,1,5,3,88628.15466823001
13,3,3,4,96516.14090785212
4,2,1,2,70910.13283542363
4,2,0,3,68802.21131666777
6,1,3,0,70305.7907190363
12,10,1,4,103957.22657961896
3,1,0,4,53186.871541637105
13,6,4,0,106748.25023649847
12,0,11,4,91175.98614318973
6,5,0,0,78476.72099720655
7,6,0,3,83182.75891958876
11,7,2,2,103395.71387719098
10,2,7,0,89489.77250255068
10,1,3,1,83852.76106826455
3,2,0,0,66659.35352144147
7,4,1,4,83675.29014542059
14,10,1,3,116080.7797859139
3,1,1,3,65846.33794904263
13,6,0,0,93322.13938396447
13,6,4,2,109783.94339993491
2,1,0,1,61562.34397006801
12,6,3,3,97416.5843571175
14,7,1,4,107779.59763162899
10,0,8,4,89803.46356186185
4,3,0,2,68327.51607799134
12,5,5,3,104169.29983284268
8,0,2,0,83156.83390915592
13,12,0,4,120408.83363836414
9,1,6,2,79438.90403284297
7,0,6,3,81610.34995153024
1,0,0,3,61144.666597677046
3,0,1,3,63434.04260344601
13,9,2,3,115954.90212592983
12,11,0,3,119561.35222850382
14,13,0,4,125118.5477305349
9,1,4,2,85246.54297820864
12,6,0,3,104725.44237042377
1,0,0,1,54224.43916548446
9,2,1,1,82619.51521642477
8,1,4,2,79242.92882143134
1,0,0,0,60817.06679416054
6,1,1,0,66907.85667029
5,2,1,0,77661.83862339058
6,4,0,1,78999.32061870185
10,1,5,0,80003.46912599029
12,2,0,4,93838.2464649571
13,10,0,3,99999.86746174187
13,6,1,1,105627.54008415517
13,3,6,2,106426.15741494496
5,4,0,2,71038.22022173973
6,5,0,3,80117.73847977791
5,0,4,1,79270.78716875143
11,4,5,0,93471.26647869032
12,11,0,0,102705.462064717
5,0,3,4,77408.317012313
4,3,0,4,79812.93595265398
3,2,0,0,63018.478359239234
3,0,0,2,65057.31517704178
4,1,1,2,72707.3795776544
9,8,0,4,91287.57883730809
2,0,0,3,55073.47082316066
9,6,2,0,97154.37256577368
1,0,0,4,63425.071393542545
14,3,9,4,111814.40430087177
1,0,0,0,48600.92823248973
5,4,0,0,82935.3055584972
6,0,1,2,67345.14551094017
6,5,0,3,77824.31109414274
3,0,0,3,62211.68917244811
7,2,4,0,86770.80210357386
9,7,1,1,96769.87988276112
11,1,7,4,96074.32750180956
12,3,7,4,103316.44265059053
10,1,0,0,82217.57334321733
8,5,1,1,88290.69757259253
6,4,0,2,64352.199611528486
12,8,0,0,100516.96270465101
8,7,0,0,89206.6096745839
12,0,3,4,85244.92958190247
5,4,0,0,74931.6165890578
8,5,1,0,83977.6438950694
10,8,1,0,105777.37849157744
12,0,2,4,97865.09862607428
4,0,3,2,63670.97215440919
10,7,2,2,96245.81144216652
8,3,1,0,80630.26217195803
10,9,0,4,97741.70261920188
12,4,0,2,95975.12492014063
2,0,1,2,54208.58965556205
12,4,2,2,91346.92332531237
12,10,1,4,112113.55611950134
5,3,1,4,77147.64792110905
9,5,0,0,82978.42120170004
4,2,0,3,71976.777153813
